Genre,IMDB_Rating,No_of_Votes,Gross,Released_Year
"Comedy, Drama",7.8,55362,2015810.0,1991
"Drama, Fantasy, Music",7.8,42376,1999955.0,1991
"Crime, Drama",7.8,126082,57504069.0,1991
"Drama, Thriller",7.8,184740,61276872.0,1990
"Biography, Drama",7.8,125276,52096475.0,1990
"Animation, Adventure, Drama",7.8,124193,23530892.0,1989
"Biography, Drama, History",7.8,122779,26830000.0,1989
"Action, Crime, Drama",7.8,45624,23530892.0,1989
"Adventure, Comedy, Sci-Fi",7.8,481918,118500000.0,1989
"Crime, Drama, History",7.8,88214,34603943.0,1988
"Action, Adventure, Sci-Fi",7.8,371387,59735548.0,1987
"Action, Comedy, Fantasy",7.8,148359,5923044.0,1987
Comedy,7.8,321382,70136369.0,1986
"Comedy, Crime, Drama",7.8,47834,1436000.0,1986
"Adventure, Comedy, Family",7.8,244430,61503218.0,1985
Drama,7.8,78321,98467863.0,1985
"Comedy, Drama",7.8,357026,45875171.0,1985
"Biography, Drama, History",7.8,51585,34700291.0,1984
"Action, Comedy, Fantasy",7.8,355413,238632124.0,1984
"Adventure, Biography, Drama",7.8,56235,21500000.0,1983
"Comedy, Crime, Drama",7.8,88511,2500000.0,1982
"Family, Sci-Fi",7.8,372490,435110554.0,1982
Drama,7.8,133351,106260000.0,1979
"Drama, Romance",7.8,52852,23530892.0,1978
Western,7.8,65659,31800000.0,1976
"Adventure, History, War",7.8,44917,23530892.0,1975
"Drama, Mystery, Thriller",7.8,98611,4420000.0,1974
"Animation, Sci-Fi",7.8,25229,193817.0,1973
"Crime, Drama, Thriller",7.8,37445,16056255.0,1973
"Action, Crime, Drama",7.8,66009,23530892.0,1973
"Drama, Music, Musical",7.8,48334,42765000.0,1972
"Family, Fantasy, Musical",7.8,178731,4000000.0,1971
Drama,7.8,101124,44785053.0,1969
Thriller,7.8,27733,17550741.0,1967
"Comedy, Drama",7.8,39642,56700000.0,1967
"Action, Biography, Crime",7.8,102415,23530892.0,1967
"Drama, Family, Musical",7.8,86525,72000000.0,1964
"Comedy, Family, Fantasy",7.8,158029,102272727.0,1964
"Action, Drama, History",7.8,52141,39100000.0,1962
"Drama, Romance",7.8,37605,23530892.0,1962
Horror,7.8,27007,2616000.0,1961
"Crime, Drama",7.8,73251,336705.0,1960
"Action, Adventure, Drama",7.8,28167,23530892.0,1948
"Action, Crime, Drama",7.8,36995,23530892.0,1948
"Adventure, Comedy, Film-Noir",7.8,31053,23530892.0,1944
"Film-Noir, Thriller",7.8,59556,23530892.0,1943
"Adventure, Drama, Western",7.8,43621,23530892.0,1939
"Mystery, Thriller",7.8,47400,23530892.0,1938
"Comedy, Family, Romance",7.8,55163,23530892.0,1938
"Drama, Horror, Sci-Fi",7.8,43542,4360000.0,1935
"Comedy, Musical, War",7.8,55581,23530892.0,1933
"Action, Crime, Drama",7.8,25312,23530892.0,1932
"Drama, Horror, Sci-Fi",7.8,65341,23530892.0,1931
Drama,7.7,140375,23530892.0,2018
"Drama, Romance",7.7,25198,335609.0,2017
"Action, Adventure, Comedy",7.7,478586,324591735.0,2018
"Crime, Drama, Mystery",7.7,205444,33800859.0,2017
"Horror, Mystery, Thriller",7.7,492851,176040665.0,2017
"Action, Adventure, Thriller",7.7,291257,220159104.0,2018
"Comedy, Drama, Romance",7.7,47444,3358518.0,2015
"Comedy, Horror",7.7,157498,3333000.0,2014
"Animation, Drama, Family",7.7,32798,765127.0,2014
"Biography, Drama, Romance",7.7,404182,35893537.0,2014
"Action, Adventure, Comedy",7.7,590440,128261724.0,2014
"Drama, Romance",7.7,344312,124872350.0,2014
"Comedy, Drama",7.7,123210,6743776.0,2015
"Comedy, Drama",7.7,580291,42340598.0,2014
"Drama, Romance",7.7,138741,2199675.0,2013
"Drama, Sport",7.7,32628,1122527.0,2013
"Drama, Music, Romance",7.7,39379,175058.0,2012
"Action, Adventure, Sci-Fi",7.7,736182,259766572.0,2014
"Drama, Music, Musical",7.7,39501,985912.0,2011
"Adventure, Comedy, Drama",7.7,112298,17654912.0,2013
"Animation, Adventure, Comedy",7.7,380195,189422889.0,2012
"Animation, Adventure, Drama",7.7,56720,1339152.0,2015
Drama,7.7,77071,71177.0,2011
"Comedy, Fantasy, Romance",7.7,388089,56816662.0,2011
"Animation, Action, Adventure",7.7,323982,257760692.0,2014
"Drama, Sci-Fi, Thriller",7.7,769145,274092705.0,2013
"Action, Adventure, Sci-Fi",7.7,463188,228778661.0,2013
"Drama, War",7.7,73964,83861.0,2015
"Biography, Drama",7.7,624982,96962694.0,2010
"Action, Adventure, Sci-Fi",7.7,645512,146408305.0,2011
Comedy,7.7,717559,277322503.0,2009
"Action, Adventure, Thriller",7.7,630614,304360277.0,2012
"Comedy, Drama, Romance",7.7,661871,132092958.0,2012
"Biography, Drama, Thriller",7.7,572581,136025503.0,2012
"Comedy, Drama, Romance",7.7,472242,32391374.0,2009
"Adventure, Family, Fantasy",7.7,479120,295983305.0,2010
"Animation, Adventure, Comedy",7.7,125317,15090400.0,2008
"Biography, Drama, History",7.7,103330,18593156.0,2008
"Animation, Drama, Fantasy",7.7,71379,881302.0,2006
"Biography, Crime, Drama",7.7,239203,35739802.0,2008
"Comedy, Drama, Romance",7.7,81446,1752214.0,2010
"Animation, Adventure, Comedy",7.7,60368,23530892.0,2006
"Crime, Drama, Fantasy",7.7,28630,23530892.0,2006
"Crime, Drama",7.7,115576,327919.0,2006
"Drama, Sci-Fi, Thriller",7.7,474141,25442958.0,2014
Drama,7.7,32001,412544.0,2006
"Biography, Drama, History",7.7,175355,17605861.0,2006
"Crime, Drama, Mystery",7.7,466080,33080084.0,2007
"Action, Crime, Drama",7.7,299524,22494487.0,2006
"Drama, History, Music",7.7,28003,1054361.0,2005
"Biography, Drama, Music",7.7,61609,871577.0,2007
"Animation, Adventure, Comedy",7.7,405922,200821936.0,2010
"Drama, Thriller, War",7.7,72643,4398392.0,2006
"Drama, Romance",7.7,323103,83043761.0,2005
"Action, Crime, Drama",7.7,288797,53606916.0,2007
"Crime, Drama, Thriller",7.7,419483,54580300.0,2004
"Action, Comedy, Fantasy",7.7,127250,17108591.0,2004
"Action, Mystery, Thriller",7.7,434841,176241941.0,2004
"Drama, Thriller",7.7,358432,1082715.0,2004
"Biography, Drama, Music",7.7,138356,75331600.0,2004
"Comedy, Drama",7.7,415074,44585453.0,2003
"Adventure, Family, Fantasy",7.7,548619,290013036.0,2005
"Action, Crime, Drama",7.7,329592,77911774.0,2004
"Animation, Drama, Family",7.7,197761,75286229.0,2009
"Action, Drama",7.7,400049,111110575.0,2003
Drama,7.7,25938,4890878.0,2002
"Comedy, Drama, Romance",7.7,137981,4064200.0,2003
Drama,7.7,40403,15539266.0,2002
Drama,7.7,142863,40311852.0,2001
"Comedy, Drama",7.7,178565,22245861.0,2002
"Drama, History, War",7.7,364254,108638745.0,2001
"Crime, Drama, Thriller",7.7,246840,104454762.0,2002
"Drama, Thriller",7.7,90842,141072.0,2001
"Drama, Music",7.7,126770,21995263.0,2000
"Comedy, Drama, Music",7.7,31957,3029081.0,2001
"Crime, Thriller",7.7,516372,183417150.0,2001
"Animation, Action, Fantasy",7.7,29210,151086.0,2000
"Adventure, Comedy, Crime",7.7,286742,45512588.0,2000
"Adventure, Comedy, Drama",7.7,29999,23530892.0,2002
"Animation, Comedy, Fantasy",7.7,192112,52037603.0,1999
Comedy,7.7,241575,10824921.0,1999
"Comedy, Drama",7.7,66408,2807390.0,1998
"Crime, Drama, Thriller",7.7,390247,76631907.0,2001
"Comedy, Drama, Romance",7.7,169229,17105219.0,1998
"Drama, Mystery, Sci-Fi",7.7,64082,368234.0,1997
"Comedy, Drama, Fantasy",7.7,312542,22858926.0,1999
"Comedy, Drama, Romance",7.7,275755,148478011.0,1997
"Action, Adventure, Sci-Fi",7.7,434125,63540020.0,1997
Comedy,7.7,37424,4065116.0,1998
"Biography, Crime, Drama",7.7,279318,41909762.0,1997
"Biography, Drama, Music",7.7,51350,35811509.0,1996
"Crime, Drama, Mystery",7.7,189716,56116183.0,1996
Drama,7.7,35991,4414535.0,1996
"Drama, Family, Fantasy",7.7,32236,10019307.0,1995
"Comedy, Crime, Drama",7.7,26429,23530892.0,1995
"Biography, Comedy, Drama",7.7,33600,21848932.0,1994
Comedy,7.7,211450,3151130.0,1994
"Comedy, Drama",7.7,42275,6110979.0,1993
Drama,7.7,224169,77324422.0,1993
"Comedy, Drama, Family",7.7,50298,27281507.0,1992
"Biography, Drama, History",7.7,85819,48169908.0,1992
"Action, Adventure, Drama",7.7,150409,75505856.0,1992
"Animation, Adventure, Comedy",7.7,77798,23530892.0,1992
"Crime, Drama, Mystery",7.7,95826,10725228.0,1992
"Drama, Thriller",7.7,235388,141340178.0,1992
Drama,7.7,66941,82418501.0,1991
"Comedy, Drama, Thriller",7.7,113240,6153939.0,1991
"Crime, Drama, Thriller",7.7,125822,5080409.0,1990
"Animation, Adventure, Comedy",7.7,182009,156452370.0,1988
"Mystery, Thriller",7.7,33982,23530892.0,1988
"Comedy, Drama",7.7,40396,1544889.0,1987
"Biography, Drama, History",7.7,94326,43984230.0,1987
"Action, Drama, History",7.7,115677,22238696.0,1987
"Crime, Drama, Mystery",7.7,102031,7153487.0,1986
"Drama, Mystery, Thriller",7.7,181285,8551228.0,1986
"Comedy, Fantasy, Romance",7.7,47102,10631333.0,1985
"Comedy, Crime, Drama",7.7,59635,10600000.0,1985
Comedy,7.7,39881,11798616.0,1983
Drama,7.7,36096,54000000.0,1982
"Action, Adventure, Sci-Fi",7.7,112704,78912963.0,1982
"Action, Adventure",7.7,226541,47212904.0,1982
Drama,7.7,47099,54800000.0,1980
Comedy,7.7,214882,83400000.0,1980
"Animation, Adventure, Family",7.7,27014,23530892.0,1979
"Horror, Thriller",7.7,233106,47000000.0,1978
"Drama, Thriller",7.7,39889,1924733.0,1976
"Comedy, War",7.7,36037,23530892.0,1975
"Action, Crime, Thriller",7.7,26729,23530892.0,1974
"Comedy, Western",7.7,125993,119500000.0,1974
"Biography, Crime, Drama",7.7,109941,29800000.0,1973
"Action, Crime, Drama",7.7,96561,25000000.0,1973
"Adventure, Drama, Thriller",7.7,98740,7056013.0,1972
"Action, Crime, Drama",7.7,110075,15630710.0,1971
"Action, Crime, Thriller",7.7,143292,35900000.0,1971
"Action, Adventure, War",7.7,51913,23530892.0,1968
Comedy,7.7,31572,44527234.0,1968
"Action, Adventure, War",7.7,67183,45300000.0,1967
"Drama, Romance",7.7,40274,26331.0,1967
"Biography, Drama, History",7.7,31222,28350000.0,1966
"Drama, Horror, Thriller",7.7,48883,23530892.0,1965
"Drama, History, War",7.7,35999,23530892.0,1964
"Action, Adventure, Thriller",7.7,174119,51081062.0,1964
"Drama, Horror, Mystery",7.7,171739,11403529.0,1963
"Drama, Thriller",7.7,26457,23530892.0,1962
"Drama, Horror, Thriller",7.7,31354,83957.0,1960
"Action, Adventure, Western",7.7,87719,4905000.0,1960
"Drama, Horror",7.7,27620,52709.0,1960
"Drama, Horror, Sci-Fi",7.7,44839,23530892.0,1956
Drama,7.7,83363,23530892.0,1955
"Comedy, Crime",7.7,26464,23530892.0,1955
"Comedy, Drama, Romance",7.7,59415,23530892.0,1954
"Comedy, Drama, Romance",7.7,34677,10550000.0,1952
"Drama, Sci-Fi",7.7,76315,23530892.0,1951
"Adventure, Drama, Romance",7.7,71481,536118.0,1951
"Drama, Film-Noir, Romance",7.7,27991,23530892.0,1946
"Animation, Family, Fantasy",7.7,88662,76408097.0,1940
"Horror, Sci-Fi",7.7,30683,23530892.0,1933
"Biography, Drama, History",7.6,60408,23530892.0,2019
"Drama, Mystery, Thriller",7.6,140840,26020957.0,2018
"Comedy, Drama",7.6,551309,142502728.0,2019
Drama,7.6,29765,566356.0,2017
Drama,7.6,95181,5904366.0,2017
"Biography, Crime, Drama",7.6,46739,23530892.0,2019
Drama,7.6,99643,24801212.0,2017
"Adventure, Comedy, Drama",7.6,66346,13122642.0,2019
"Crime, Drama, Romance",7.6,52903,23530892.0,2015
Drama,7.6,35785,845464.0,2015
"Action, Adventure, Comedy",7.6,569974,389813101.0,2017
"Action, Crime, Drama",7.6,439406,107825862.0,2017
"Action, Biography, Drama",7.6,58371,18340051.0,2017
"Drama, History, Thriller",7.6,287659,72313754.0,2015
"Animation, Action, Adventure",7.6,250057,608581744.0,2018
"Animation, Adventure, Comedy",7.6,272784,248757044.0,2016
"Action, Crime, Drama",7.6,371291,46889293.0,2015
"Drama, Sport",7.6,247666,109767581.0,2015
"Crime, Drama",7.6,49397,1092800.0,2014
"Action, Crime, Drama",7.6,204175,26862450.0,2016
"Biography, Comedy, Drama",7.6,94212,37707719.0,2013
"Action, Adventure, Drama",7.6,411599,208545589.0,2014
"Mystery, Thriller",7.6,57549,23530892.0,2012
"Action, Thriller",7.6,190531,4105123.0,2011
"Action, Crime, Drama",7.6,228132,41003371.0,2012
"Animation, Adventure, Family",7.6,80939,19202743.0,2010
"Drama, Music, Romance",7.6,334312,215288866.0,2018
"Drama, Western",7.6,311822,171243005.0,2010
"Drama, Romance",7.6,38491,1008098.0,2010
"Animation, Comedy, Crime",7.6,500851,251513985.0,2010
"Comedy, Drama, Romance",7.6,315426,35014192.0,2011
"Action, Comedy, Crime",7.6,524081,48071303.0,2010
"Action, Adventure, Crime",7.6,63882,23530892.0,2009
"Biography, Drama, Sport",7.6,369529,75605492.0,2011
"Drama, Horror, Thriller",7.6,138959,3185812.0,2011
"Adventure, Comedy, Fantasy",7.6,520041,75590286.0,2009
"Drama, Thriller",7.6,102742,23530892.0,2008
"Action, Adventure, Mystery",7.6,583158,209028679.0,2009
"Biography, Drama, Sport",7.6,293266,255959475.0,2009
Drama,7.6,41544,9422422.0,2007
Drama,7.6,286770,69951824.0,2008
"Action, Crime, Drama",7.6,227760,17114882.0,2007
"Adventure, Family, Fantasy",7.6,255036,38634938.0,2007
"Animation, Adventure, Family",7.6,31779,686383.0,2009
"Crime, Drama, Mystery",7.6,339757,88513495.0,2006
"Crime, Drama, Mystery",7.6,250590,20300218.0,2007
"Biography, Drama, Music",7.6,82781,10301706.0,2007
"Action, Biography, Drama",7.6,72863,24633730.0,2006
"Drama, Fantasy, Mystery",7.6,354728,39868642.0,2006
"Crime, Drama, Thriller",7.6,49728,6013.0,2004
"Action, Adventure, Family",7.6,474827,301959197.0,2009
"Action, Drama",7.6,732876,210614939.0,2006
"Drama, Romance, Thriller",7.6,206294,23089926.0,2005
"Action, Drama, Mystery",7.6,500799,107509799.0,2009
"Action, Crime, Drama",7.6,294140,24149632.0,2005
"Horror, Mystery, Thriller",7.6,379020,56000369.0,2004
Drama,7.6,83158,3081925.0,2008
Drama,7.6,65939,697181.0,2004
"Comedy, Drama, Romance",7.6,67360,548707.0,2003
"Drama, Mystery, Romance",7.6,70925,6167817.0,2004
"Comedy, Drama",7.6,67370,5739376.0,2003
"Crime, Drama, Thriller",7.6,224545,16290476.0,2003
"Crime, Drama, Thriller",7.6,62659,45289.0,2002
"Biography, Drama, Family",7.6,198677,51680613.0,2004
Drama,7.6,169708,13060843.0,2002
"Drama, Sci-Fi, Thriller",7.6,451479,57938693.0,2004
"Drama, Horror, Sci-Fi",7.6,376853,45064915.0,2002
"Action, Adventure, Drama",7.6,169091,23530892.0,2000
"Comedy, Drama",7.6,266842,52364010.0,2001
Drama,7.6,115827,13622333.0,2001
"Adventure, Family, Fantasy",7.6,658185,317575550.0,2001
"Horror, Mystery, Thriller",7.6,337651,96522687.0,2001
"Biography, Crime, Drama",7.6,240714,52990775.0,2001
"Drama, History, War",7.6,243729,51401758.0,2001
"Action, Crime, Mystery",7.6,508417,132072926.0,2002
"Biography, Drama, Sport",7.6,91557,50668906.0,1999
"Comedy, Crime, Drama",7.6,490062,15070285.0,2000
"Crime, Drama, Thriller",7.6,188317,7267585.0,1998
"Drama, War",7.6,172710,36400491.0,1998
"Animation, Adventure, Family",7.6,256906,120620254.0,1998
"Adventure, Comedy, Drama",7.6,259753,10680275.0,1998
"Crime, Drama, Thriller",7.6,65058,23530892.0,1997
"Mystery, Sci-Fi, Thriller",7.6,187927,14378331.0,1998
"Crime, Drama, Thriller",7.6,186734,49100000.0,1996
"Mystery, Thriller",7.6,131101,3796699.0,1997
"Drama, Romance",7.6,102598,43182776.0,1995
"Action, Adventure, Thriller",7.6,364420,100012499.0,1995
"Adventure, Drama, Fantasy",7.6,90442,1037847.0,1995
"Drama, Romance",7.6,73172,71516617.0,1995
"Adventure, Drama, History",7.6,269197,173837933.0,PG
"Comedy, Drama, Romance",7.6,64390,1464625.0,1994
"Action, Crime, Drama",7.6,171640,40903593.0,1993
Comedy,7.6,165465,7993039.0,1993
"Comedy, Crime",7.6,107325,52929168.0,1992
"Animation, Drama, Romance",7.6,27071,453243.0,1991
"Comedy, Crime",7.6,80487,1794187.0,1991
"Comedy, Family",7.6,488817,285761243.0,1990
"Crime, Drama",7.6,359809,66666062.0,1990
"Comedy, Drama, Romance",7.6,195663,92823600.0,1989
"Animation, Family, Fantasy",7.6,237696,111543479.0,1989
"Comedy, Crime",7.6,152871,78756177.0,1988
"Comedy, Drama",7.6,124773,49530280.0,1987
"Action, Crime, Thriller",7.6,236894,65207127.0,1987
"Crime, Drama, Thriller",7.6,87745,2150000.0,1984
Drama,7.6,27650,119285432.0,1981
"Action, Adventure, Sci-Fi",7.6,166588,12465371.0,1981
"Action, Crime, Thriller",7.6,93878,22490039.0,1979
"Adventure, Comedy, Family",7.6,32802,76657000.0,1979
"Action, Biography, Crime",7.6,121731,43000000.0,1979
"Animation, Adventure, Drama",7.6,33656,23530892.0,1978
"Biography, Crime, Drama",7.6,73662,35000000.0,1978
"Drama, Sci-Fi",7.6,184966,132088635.0,1977
"Comedy, Crime, Drama",7.6,26337,959000.0,1973
"Drama, War, Western",7.6,30144,696690.0,1971
"Adventure, Comedy, War",7.6,45338,1378435.0,1970
"Animation, Adventure, Family",7.6,166409,141843612.0,1967
"Drama, Mystery, Thriller",7.6,56513,23530892.0,1966
"Comedy, Music, Musical",7.6,40351,13780024.0,1964
"Comedy, Drama, Romance",7.6,166544,23530892.0,1961
"Drama, Western",7.6,34075,23530892.0,1956
"Drama, Romance, War",7.6,43374,30500000.0,1953
"Drama, War",7.6,26471,23530892.0,1944
"Crime, Mystery, Thriller",7.6,51853,23530892.0,1935
